Fiscal Month,Service Type,Average Boardings per Trip
07/01/2016 12:00:00 AM,Rapid,39
07/01/2016 12:00:00 AM,Frequent Local,25
07/01/2016 12:00:00 AM,Peak Express,20
07/01/2016 12:00:00 AM,Coverage,11
08/01/2016 12:00:00 AM,Rapid,44
08/01/2016 12:00:00 AM,Frequent Local,27
08/01/2016 12:00:00 AM,Peak Express,23
08/01/2016 12:00:00 AM,Coverage,12
09/01/2016 12:00:00 AM,Rapid,42
09/01/2016 12:00:00 AM,Frequent Local,22
09/01/2016 12:00:00 AM,Peak Express,21
09/01/2016 12:00:00 AM,Coverage,12
10/01/2016 12:00:00 AM,Rapid,44
10/01/2016 12:00:00 AM,Frequent Local,23
10/01/2016 12:00:00 AM,Peak Express,21
10/01/2016 12:00:00 AM,Coverage,12
11/01/2016 12:00:00 AM,Rapid,42
11/01/2016 12:00:00 AM,Frequent Local,23
11/01/2016 12:00:00 AM,Peak Express,22
11/01/2016 12:00:00 AM,Coverage,12
12/01/2016 12:00:00 AM,Rapid,35
12/01/2016 12:00:00 AM,Frequent Local,20
12/01/2016 12:00:00 AM,Peak Express,16
12/01/2016 12:00:00 AM,Coverage,10
01/01/2017 12:00:00 AM,Rapid,34
01/01/2017 12:00:00 AM,Frequent Local,18
01/01/2017 12:00:00 AM,Peak Express,18
01/01/2017 12:00:00 AM,Coverage,9
02/01/2017 12:00:00 AM,Rapid,45
02/01/2017 12:00:00 AM,Frequent Local,26
02/01/2017 12:00:00 AM,Peak Express,24
02/01/2017 12:00:00 AM,Coverage,13
03/01/2017 12:00:00 AM,Rapid,50
03/01/2017 12:00:00 AM,Frequent Local,28
03/01/2017 12:00:00 AM,Peak Express,25
03/01/2017 12:00:00 AM,Coverage,14
04/01/2017 12:00:00 AM,Rapid,44
04/01/2017 12:00:00 AM,Frequent Local,23
04/01/2017 12:00:00 AM,Peak Express,22
04/01/2017 12:00:00 AM,Coverage,12
05/01/2017 12:00:00 AM,Rapid,46
05/01/2017 12:00:00 AM,Frequent Local,25
05/01/2017 12:00:00 AM,Peak Express,25
05/01/2017 12:00:00 AM,Coverage,13
06/01/2017 12:00:00 AM,Rapid,41
06/01/2017 12:00:00 AM,Frequent Local,24
06/01/2017 12:00:00 AM,Peak Express,23
06/01/2017 12:00:00 AM,Coverage,12
